"region","district","L3","L4","L5","lon","lat"
"Amajyaruguru","Gicumbi","Shangasha","Bushara","Bushara",30.0739308952591,-1.509292423719
"Iburengerazuba","Nyamasheke","Karengera","Miko","Boli",29.0189893082588,-2.51506635873235
"Iburasirazuba","Kayonza","Kabare","Rubimba","Kabeza",30.6258944010676,-2.09471075749865
"Amajyaruguru","Burera","Gatebe","Musenda","Sunzu",29.9860973845015,-1.57381017977408
"Amajyepfo","Nyaruguru","Kibeho","Mubuga","Mubuga",29.5684905793101,-2.69377461407782
"Iburasirazuba","Nyagatare","Nyagatare","Bushoga","Cyabahanga",30.3262401197095,-1.34955758945387
"Amajyepfo","Gisagara","Kigembe","Agahabwa","Kamweko",29.7284249641826,-2.73585889613994
"Iburasirazuba","Nyagatare","Karangazi","Nyamirama","Kayange Ii",30.510865880057,-1.44851391898119
"Iburengerazuba","Nyabihu","Muringa","Gisizi","Kinihira",29.4885928383054,-1.7539250589468
"Iburasirazuba","Kayonza","Mwiri","Kageyo","Kiyonza",30.7676256723554,-1.78501294507435
"Iburengerazuba","Rutsiro","Mukura","Karambo","Terimbere",29.4594384125191,-1.99742241237293
"Amajyaruguru","Gakenke","Gashenyi","Nyacyina","Mukira",29.8600055244781,-1.64924342879194
"Amajyepfo","Nyaruguru","Ngoma","Mbuye","Mugobe",29.7059480482745,-2.75145967122359
"Amajyepfo","Muhanga","Rongi","Gasharu","Kabuga",29.7249378553608,-1.75170078967956
"Iburasirazuba","Gatsibo","Ngarama","Bugamba","Kinihira",30.2293138879308,-1.49512315641112
"Iburasirazuba","Nyagatare","Nyagatare","Rutaraka","Nkonji",30.3284922767344,-1.34958174342464
"Amajyepfo","Gisagara","Mukindo","Gitega","Akazenga",29.8252456507618,-2.73899988355391
"Iburasirazuba","Nyagatare","Rwimiyaga","Ntoma","Rwembogo",30.4119953191997,-1.17685360997406
"Iburengerazuba","Nyamasheke","Cyato","Bisumo","Rugabe",29.2685459125214,-2.37271322876477
"Amajyepfo","Gisagara","Kansi","Bwiza","Nyakibungo",29.7845523144233,-2.6663838140066
"Iburasirazuba","Nyagatare","Karangazi","Kizirakome","Kageyo",30.3599565980633,-1.45140073353535
"Iburasirazuba","Bugesera","Juru","Rwinume","Gisororo",30.2159841476903,-2.11307799880248
"Amajyepfo","Muhanga","Muhanga","Kanyinya","Nyamitanga",29.7206124580316,-2.08340770989762
"Iburasirazuba","Rwamagana","Muhazi","Karitutu","Kingondo",30.4455534096712,-1.92141725386121
"Iburengerazuba","Nyamasheke","Kirimbi","Karengera","Mitanga",29.2616448540183,-2.26200912665198
"Amajyaruguru","Gakenke","Cyabingo","Mutanda","Mutanda",29.6844203954237,-1.59108661510586
"Iburasirazuba","Kirehe","Nyamugari","Kazizi","Gahomvu",30.7883087711039,-2.26330245441096
"Iburengerazuba","Rusizi","Bweyeye","Nyamuzi","Gakopfo",29.3229649830399,-2.60804428997767
"Iburasirazuba","Kayonza","Murundi","Ryamanyoni","Akanyerezo",30.504053035867,-1.75738693074513
"Amajyaruguru","Gakenke","Gakenke","Buheta","Karorero",29.8172302873807,-1.66235390863389
"Iburasirazuba","Kirehe","Nyarubuye","Mareba","Burembo",30.7363917753609,-2.19058993148943
"Amajyepfo","Kamonyi","Mugina","Jenda","Nyamurenga",29.9840680014936,-2.13109021417498
"Amajyepfo","Nyanza","Kibilizi","Mbuye","Gihama",29.9326097759179,-2.38109600393929
"Iburengerazuba","Nyabihu","Shyira","Kintarure","Munanira",29.6213870183389,-1.72135282513601
"Iburengerazuba","Rubavu","Rubavu","Burinda","Gasenyi",29.313042292822,-1.65519992170486
"Iburasirazuba","Kirehe","Kigarama","Nyakerera","Kiyovu",30.6780279942374,-2.33884444362144
"Amajyaruguru","Rulindo","Bushoki","Giko","Kigamba",29.9050324364721,-1.69481981875042
"Iburasirazuba","Bugesera","Mwogo","Rugunga","Rukira",30.1371033721861,-2.04460296839951
"Amajyaruguru","Gakenke","Ruli","Ruli","Ngayake",29.8555237935243,-1.81616956479573
"Amajyepfo","Nyaruguru","Nyabimata","Ruhinga","Agasugi",29.3658926793693,-2.6874613026431
"Iburasirazuba","Gatsibo","Kabarore","Marimba","Rutenderi",30.3373827716702,-1.59324384969987
"Amajyaruguru","Gicumbi","Manyagiro","Remera","Kabeza",29.9680987974786,-1.52625121406813
"Amajyepfo","Nyaruguru","Ngera","Murama","Mbogo",29.7013300361667,-2.70174653060486
"Amajyepfo","Nyamagabe","Kitabi","Mukungu","Gahira",29.4623304211367,-2.51218578244697
"Iburasirazuba","Nyagatare","Rwimiyaga","Kirebe","Gatebe I",30.4861752353536,-1.3242276613409
"Amajyepfo","Nyamagabe","Cyanika","Nyanza","Kibingo",29.5860195063962,-2.44783275832135
"Iburasirazuba","Nyagatare","Rwimiyaga","Nyarupfubire","Nyarupfubire Ii",30.4028672986459,-1.28949802431434
"Amajyepfo","Ruhango","Byimana","Mpanda","Karenge",29.7274021300692,-2.12184154823771
"Iburasirazuba","Rwamagana","Nyakaliro","Gatare","Karogo",30.2271848206308,-2.05001919261818
"Umujyi wa Kigali","Gasabo","Rutunga","Indatemwa","Karuranga",30.1707424171056,-1.79903251988486
"Iburengerazuba","Rusizi","Nyakabuye","Kamanu","Site",29.0280700253466,-2.56031723852852
"Iburasirazuba","Gatsibo","Rwimbogo","Nyamatete","Rwiminazi",30.4612526256349,-1.62612999565776
"Iburasirazuba","Rwamagana","Muhazi","Murambi","Kabusunzu",30.445523521465,-1.86277380032875
"Amajyepfo","Nyaruguru","Muganza","Muganza","Ngara",29.4896585479319,-2.67274820622844
"Iburasirazuba","Nyagatare","Musheri","Nyamiyonga","Cyenombe",30.3602933042852,-1.09736859869588
"Amajyepfo","Nyamagabe","Musebeya","Rugano","Rukungu",29.4396085127548,-2.38328244645715
"Iburasirazuba","Kayonza","Kabare","Gitara","Rugunga",30.6258637713521,-2.06313501998526
"Amajyepfo","Nyanza","Rwabicuma","Runga","Rugarama B",29.6872034915728,-2.37652654046518
"Iburengerazuba","Karongi","Rwankuba","Rubumba","Rukore",29.4145817185128,-2.17534556150484
"Amajyaruguru","Gakenke","Coko","Nyanza","Tumba",29.7992281093064,-1.7614579498659
"Iburasirazuba","Ngoma","Jarama","Karenge","Akajevuba",30.353575772254,-2.285922908813
"Iburasirazuba","Kayonza","Gahini","Kahi","Nyamiyaga",30.6437089481847,-1.72730461540602
"Iburasirazuba","Nyagatare","Mukama","Gihengeri","Kabongoya Ii",30.1414872063745,-1.5009708201072
"Amajyepfo","Nyamagabe","Kaduha","Nyabisindu","Kabaziro",29.5498473383973,-2.34816596828793
"Amajyaruguru","Burera","Rugengabari","Nyanamo","Kabuyenge",29.8195006940538,-1.54504960306479
"Amajyepfo","Gisagara","Musha","Kigarama","Kigarama",29.831603056747,-2.55620305373978
"Amajyaruguru","Rulindo","Cyinzuzi","Budakiranya","Rugaragara",30.0288753387604,-1.77051973918066
"Amajyaruguru","Gicumbi","Nyankenke","Rusasa","Nyangezi",29.9883416070425,-1.61218485821248
"Iburasirazuba","Bugesera","Mayange","Mbyo","Rwimikoni I",30.1643375292837,-2.24117276957348
"Umujyi wa Kigali","Nyarugenge","Kigali","Ruriba","Ruzigimbogo",30.01770900106,-1.97572501683489
"Amajyepfo","Nyaruguru","Kivu","Gahurizo","Gasezo",29.4151672634041,-2.56821345201953
"Amajyaruguru","Rulindo","Base","Rwamahwa","Kiruli",29.8937767547676,-1.63830129694747
